"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHT22",1008054,80.400002,19.799999,48.973606
"DHC1080",1013330,78.680420,20.817566,49.169109
"DHT22",1013330,80.599998,19.799999,49.169109
"DHC1080",1018606,78.979492,20.787354,49.169109
"DHT22",1018606,80.599998,19.799999,49.169109
"DHC1080",1023883,78.979492,20.787354,49.462364
"DHT22",1023883,80.800003,19.799999,49.462364
"DHC1080",1029159,78.979492,20.787354,49.462364
"DHT22",1029159,80.599998,19.799999,49.462364
"DHC1080",1034435,78.979492,20.787354,50.733139
"DHT22",1034435,80.699997,19.799999,50.733139
"DHC1080",1039711,79.180908,20.757141,51.612904
"DHT22",1039711,80.699997,19.799999,51.612904
"DHC1080",1044988,79.180908,20.757141,52.297165
"DHT22",1044988,80.800003,19.799999,52.297165
"DHC1080",1050264,79.180908,20.757141,53.665688
"DHT22",1050264,81.099998,19.799999,53.665688
"DHC1080",1055540,79.180908,20.757141,57.380253
"DHT22",1055540,81.500000,19.799999,57.380253
"DHC1080",1060816,79.278564,20.757141,57.575756
"DHT22",1060816,81.500000,19.799999,57.575756
"DHC1080",1066093,79.278564,20.757141,59.726295
"DHT22",1066093,80.900002,19.799999,59.726295
"DHC1080",1071369,79.278564,20.757141,63.929619
"DHT22",1071369,80.800003,19.799999,63.929619
"DHC1080",1076645,79.278564,20.757141,49.071358
"DHT22",1076645,80.800003,19.799999,49.071358
"DHC1080",1081921,79.479980,20.726929,47.996090
"DHT22",1081921,80.400002,19.799999,47.996090
"DHC1080",1087198,79.479980,20.726929,38.905182
"DHT22",1087198,80.199997,19.700001,38.905182
"DHC1080",1092474,79.479980,20.726929,38.807430
"DHT22",1092474,80.400002,19.799999,38.807430
"DHC1080",1097750,79.479980,20.726929,49.266861
"DHT22",1097750,80.599998,19.799999,49.266861
"DHC1080",1103026,79.315186,20.716858,49.657867
"DHT22",1103026,80.699997,19.799999,49.657867
"DHC1080",1108303,79.315186,20.716858,52.590420
"DHT22",1108303,80.699997,19.799999,52.590420
"DHC1080",1113579,79.315186,20.716858,59.530792
"DHT22",1113579,80.800003,19.799999,59.530792
"DHC1080",1118855,79.315186,20.716858,63.831867
"DHT22",1118855,80.699997,19.799999,63.831867
"DHC1080",1124131,79.217529,20.686646,60.508308
"DHT22",1124131,80.699997,19.700001,60.508308
